单词,音标,中文解释,是否为初中单词
Irish,'airiʃ,"adj. 爱尔兰的；爱尔兰人的
n. 爱尔兰人；爱尔兰语；爱尔兰",False
iron,ˈaɪən,"n. 熨斗；烙铁；坚强
v. 熨；用铁铸成
adj. 铁的；残酷的；刚强的",False
irrigate,ˈɪrɪgeɪt,v.  灌溉； 冲洗 with a stream of liquid),False
irrigation,ˌɪrɪ'ɡeɪʃn,n. 灌溉；[临床] 冲洗；冲洗法,False
Italy,'itәli,n. 意大利（欧洲南部国家）,False
itself,ɪtˈself,pron.  它自己， 它本身； 自身， 本身,False
jar,dʒɑ:(r),"n. 罐；广口瓶；震动；刺耳声
v. 冲突；不一致；震惊；发刺耳声",False
jaw,dʒɔ:,"n. 颌；下巴；狭窄入口；唠叨
v. 教训；唠叨",False
jazz,dʒæz,"n. 爵士乐，爵士舞；喧闹
v. 奏爵士乐，跳爵士舞；游荡
adj. 爵士乐的；喧吵的",False
jeep,dʒi:p,n. 吉普车,False
jet,dʒet,"vi.  喷射， 喷出； 乘喷气式飞机
n. 喷气发动机，喷气式飞机；喷射，射流；喷口，喷嘴，喷射口",False
jewel,ˈdʒu:əl,"n. 宝石；珠宝
v. 镶以宝石；饰以珠宝",False
jewelry,'dʒu:əlrɪ,n.  〈总称〉 珠宝， 首饰,False
jog,dʒɒg,"v. 慢跑；轻推；蹒跚行进；使颠簸
n. 慢跑；轻推，轻撞",False
journalist,ˈdʒɜ:nəlɪst,"n. 新闻记者,从事新闻杂志业的人",False
joy,dʒɔɪ,"n. 欢乐，快乐；乐趣；高兴
v. 欣喜，欢喜",False
judge,dʒʌdʒ,"v. 审判，审理，判决；裁判；判断，断定，认为
n.  法官， 审判员； 裁判员； 鉴定人， 鉴赏家",False
judgement,ˈdʒʌdʒmənt,n. 审判， 判决；判断力， 识别力； 看法， 意见,False
juicy,ˈdʒu:si,adj. 多汁的；利润多的；生动的,False
jungle,ˈdʒʌŋgl,"n. 丛林，密林；危险地带
adj. 丛林的；蛮荒的",False
junior,ˈdʒu:niə(r),"adj. 年少的， 年幼的；低年级的；后进的， 下级的；三年级的
n. 年少者， 低班生；下级， 晚辈；三年级学生",False
junk,dʒʌŋk,"n. 废旧杂物； 垃圾 <
vt. 丢弃， 废弃",False
justice,ˈdʒʌstɪs,n.  正义， 公平， 公正； 司法， 法律制裁； 法官， 审判员,False
keeper,ˈki:pə(r),n. 监护人；饲养员；看守人；管理人,False
kettle, 'ket(ə)l,n. 壶；[化工] 釜；罐；鼓,False
kilogram,ˈkɪləgræm,"n. [物]千克, 公斤",False
kindergarten,ˈkɪndəgɑ:tn,"n. 幼儿园
adj. 幼儿园的,启蒙阶段的",False
kingdom,ˈkɪŋdəm,n.  王国； 领域， 界,False
labour,'leɪbə(r),"vi.  劳动； 努力； 费力地前行， 吃力地行动
n. 劳动；劳工；分娩；阵痛",False
labourer,ˈleɪbərə(r),n. 劳动者；劳工,False
lack,læk,"v. 缺乏；不足；没有；需要
n. 缺乏；不足",False
ladder,ˈlædə(r),"n. 阶梯；途径；梯状物
v. 成名；发迹",False
lamb,læm,"n. 羔羊，小羊；羔羊肉
v. 生小羊，产羔羊",False
lame,leɪm,"adj. 跛的，瘸的；残废的；站不住脚的，无说服力的；差劲的，蹩脚的
v.  变跛， 成残废",False
lamp,læmp,"n. 灯；照射器
vt. 照亮
vi. 发亮",False
lap,læp,"n. 一圈；膝盖；下摆；山坳
v. 使重叠；拍打；包围",False
laser,ˈleɪzə(r),n.  激光； 激光器,False
lately,ˈleɪtli,"adv. 近来, 最近",False
latter,ˈlætə(r),"adj. 后者的；近来的；后面的；较后的
n. (Latter)人名；(英、德、捷)拉特",False
laughter,ˈlɑ:ftə(r),n.  笑， 笑声,False
laundry,ˈlɔ:ndri,n.  洗衣店， 洗衣房； 洗好的衣服； 待洗的衣服,False
lavatory,ˈlævətri,n.  盥洗室， 厕所,False
law,lɔ:,"n. 法律；规律；法治；法学；诉讼；司法界
vi. 起诉；控告
vt. 控告；对…起诉",False
lawyer,ˈlɔ:jə(r),n. 律师；法学家,False
leader,ˈli:də(r),n.  领袖， 领导人， 首领,False
leading,ˈli:dɪŋ,"adj. 领导的；主要的
n. 领导；铅板；行距
v. 领导（lead的ing形式）",False
league,li:g,"n. 联盟；社团；范畴
v. 使…结盟；与…联合",False
leak,li:k,"v. 漏，渗出，泄漏
n.  漏洞， 裂缝； 泄露； 走漏",False
learned,ˈlɜ:nɪd,"adj. 博学的；有学问的；学术上的
n. (Learned)人名；(英)勒尼德",False
leather,ˈleðə(r),"n. 皮革；皮革制品
v. 用皮革包盖；抽打
adj. 皮的；皮革制的",False
lecture,ˈlektʃə(r),"v.  做讲座， 做演讲； 训斥， 谴责； 告诫
n. 讲座，讲课；演说，演讲",False
leftover,ˈleftəʊvə(r),"n. 残留物；吃剩的饭菜；剩余物
adj. 残余的；吃剩的",False
legal,ˈli:gl,"adj. 法律的；合法的；法定的；依照法律的
n. (Legal)人名；(法)勒加尔",False
lemonade,ˌleməˈneɪd,n. 柠檬水,False
length,leŋθ,n.  长， 长度， 距离； 一段， 一节,False
liberate,ˈlɪbəreɪt,vt. 解放， 释放 <,False
liberation,ˌlɪbə'reɪʃn,"n. 释放, 解放",False
liberty,ˈlɪbəti,n.  自由； 许可， 准许； 过于随便， 放肆,False
librarian,laɪˈbreəriən,n.  图书管理员， 图书馆馆长,False
license,ˈlaɪsns,"n. 执照，许可证；特许
v. 许可；特许；发许可证给",False
lid,lɪd,"n. 盖子；眼睑；限制
vt. 给…盖盖子",False
lifetime,ˈlaɪftaɪm,"n. 一生；寿命；终生；使用期
adj. 一生的；终身的",False
lightning,ˈlaɪtnɪŋ,"adj. 闪电的；快速的
n. 闪电
vi. 闪电",False
likely,ˈlaɪkli,"adj. 很可能的；合适的；有希望的
adv. 很可能；或许",False
limit,ˈlɪmɪt,"n. 界限,限度,范围
v. (to)限制,限定",False
link,lɪŋk,"n. [计] 链环，环节；联系，关系
v. 连接，连结；联合，结合",False
lip,lɪp,"n. 嘴唇；边缘
vt. 以嘴唇碰
adj. 口头上的
vi. 用嘴唇",False
liquid,ˈlɪkwɪd,"adj.  液体的， 液态的； 清澈的， 晶莹的； 流畅的； 易换为现金的， 易兑现的
n. 液体",False
literary,ˈlɪtərəri,adj.  文学上的， 文学的； 精通文学的， 从事写作的,False
literature,ˈlɪtrətʃə(r),n.  文学， 文学作品； 文献， 图书资料； 印刷品,False
litre,ˈli:tə(r),n. [计量] 公升（米制容量单位）,False
living,ˈlɪvɪŋ,"adj. 活的；现存的；活跃的；逼真的
n. 生活；生存；生计
v. 生活；居住（live的ing形式）；度过",False
load,ləʊd,"n. 负载，负荷；工作量；装载量
v. [力] 加载；装载；装货",False
loaf,ləʊf,"n. 条，一条面包；块；游荡
v. 游荡；游手好闲；虚度光阴",False
locust,ˈləʊkəst,n. [植保] 蝗虫，[昆] 蚱蜢,False
loose,lu:s,"adj. 宽松的；散漫的；不牢固的；不精确的
v. 释放；开船；放枪
adv. 松散地
n. 放纵；放任；发射",False
lorry,ˈlɒri,n. （英）卡车；[车辆] 货车；运料车,False
loss,lɒs,n.  丧失， 遗失； 损失， 损耗， 亏损； 失败,False
loudspeaker,ˌlaʊdˈspi:kə(r),n. 喇叭，扬声器；扩音器,False
lounge,laʊndʒ,"n. 休息室；闲逛；躺椅；（英）酒吧间
v. 闲逛；懒洋洋地躺卧；闲混",False
luggage,ˈlʌgɪdʒ,n. 行李（<美>baggage）,False
lung,lʌŋ,"n. 肺,呼吸器",False
maid,meɪd,"n. 女仆；少女
vt. 侍候；做新娘的女傧相
vi. 当女仆",False
mailbox,ˈmeɪlbɒks,n. （美）邮筒；信箱,False
mainland,ˈmeɪnlænd,"n. 大陆；本土
adj. 大陆的；本土的",False
major,ˈmeɪdʒə(r),"adj. 主要的；重要的；主修的；较多的
n. [人类] 成年人；主修科目；陆军少校
v. 主修",False
majority,məˈdʒɒrəti,n. 多数， 大多数；【律】 成年,False
male,meɪl,"adj. 男性的；雄性的；有力的
n. 男人；雄性动物",False
mankind,mænˈkaɪnd,n. 人类；男性,False
manner,ˈmænə(r),"n. 方式;举止;(pl.)风度,礼貌;规矩;风俗",False
maple,ˈmeɪpl,"n. [植]枫, 枫木, 淡棕色",False
marathon,ˈmærəθən,"n. 马拉松赛跑；耐力的考验
adj. 马拉松式的；有耐力的
vi. 参加马拉松赛跑",False
marble,ˈmɑ:bl,"n. 大理石；大理石制品；弹珠
adj. 大理石的；冷酷无情的",False
march,mɑ:tʃ,"v. （坚定地向某地）前进；行军，进军；游行示威；进展，进行
n. 行进，前进；行军；游行示威；进行曲",False
marriage,ˈmærɪdʒ,n. 结婚；婚姻生活；密切结合，合并,False
married,ˈmærid,"adj. 已婚的，有配偶的；婚姻的，夫妇的；密切结合的
n. 已婚者
v. 结婚，与…结婚（marry的过去式）",False
mask,mɑ:sk,"n. 面具，面罩；假面具，伪装
vt.  掩饰， 掩盖",False
mass,mæs,"n. 块，团；群众，民众；大量，众多；质量
adj. 群众的，民众的；大规模的，集中的
v. 聚集起来，聚集",False
master,ˈmɑ:stə(r),"adj. 主要的
n. 男主人； 雇主；师傅； 大师， 名家；硕士
vt. 精通， 掌握",False
mat,mæt,"n. 垫；垫子；衬边
v. 缠结；铺席于……上
adj. 无光泽的",False
material,məˈtɪəriəl,"adj.  物质的， 实体的； 身体上的， 肉体的； 重要的， 实质性的
n. 物质；材料，原料；素材，资料，题材",False
mature,məˈtʃʊə(r),"v. 到期；成熟，长成
adj.  熟的， 成熟的； 成年人的； 深思熟虑的， 慎重的； 到期的， 应支付的",False
maximum,ˈmæksɪməm,"n. [数] 极大，最大限度；最大量
adj. 最高的；最多的；最大极限的",False
means,mi:nz,"n. 手段；方法；财产
v. 意思是；打算（mean的第三人称单数） [ 复数means ]",False
meanwhile,ˈmi:nwaɪl,"adv. 同时，其间
n. 其间，其时",False
measure,ˈmeʒə(r),"vt. 测量，度量；衡量
n.  分量； 尺寸； 量具； 计量单位； 量度， 测量； 措施， 办法",False
media,ˈmi:diə,n. 媒体；媒质（medium的复数）；血管中层；浊塞音；中脉,False
medium,ˈmi:diəm,"adj. 中等的，适中的
n.  媒介， 媒介物， 传导体； 新闻媒介， 传播媒介； 手段， 工具； 中间， 适中",False
melon,ˈmelən,n. 瓜；甜瓜；大肚子；圆鼓鼓像瓜似的东西,False
memorial,məˈmɔ:riəl,"n. 纪念碑，纪念馆；纪念仪式；纪念物
adj. 记忆的；纪念的，追悼的",False
memorize,ˈmeməraɪz,vt.  记住， 记忆， 熟记,False
mend,mend,v.  修理， 修补； 改良， 改进； 修正， 改正； 恢复健康， 痊愈,False
mental,ˈmentl,adj.  精神的， 思想上的， 心理的； 精神不正常的， 精神病的； 治疗精神病的； 智力的， 脑力的,False
mentally,ˈmentəli,adv. 精神上，智力上；心理上,False
merchant,ˈmɜ:tʃənt,"n. 商人，批发商；店主
adj. 商业的，商人的",False
merciful,ˈmɜ:sɪfl,adj. 宽大的；仁慈的；慈悲的,False
mercy,ˈmɜ:si,n.  宽恕； 仁慈； 恩惠， 幸运,False
merely,ˈmɪəli,adv. 仅仅，只不过；只是,False
messy,ˈmesi,adj. 凌乱的，散乱的；肮脏的，污秽的；麻烦的,False
metal,ˈmetl,"n. 金属；合金
v. 以金属覆盖
adj. 金属制的",False
Mexican,'meksikәn,"adj. 墨西哥的；墨西哥人的
n. 墨西哥人；墨西哥语",False
Mexico,'meksɪkəʊ,n. 墨西哥（拉丁美洲国家）,False
microcomputer,ˈmaɪkrəʊkəmpju:tə(r),n. 微电脑；[计] 微型计算机,False
microscope,ˈmaɪkrəskəʊp,n.  显微镜,False
microwave,ˈmaɪkrəweɪv,n. 微波(波长为1毫米至30厘米的高频电磁波),False
midday,ˌmɪdˈdeɪ,"n. 中午；正午
adj. 正午的",False
mild,maɪld,"adj. 温和的；轻微的；淡味的；文雅的；不含有害物质的的
n. （英国的一种）淡味麦芽啤酒",False
millionaire,ˌmɪljəˈneə(r),"n. 百万富翁；大富豪
adj. 100万以上人口的",False
mineral,ˈmɪnərəl,"n. 矿物；（英）矿泉水；无机物；苏打水（常用复数表示）
adj. 矿物的；矿质的",False
minibus,ˈmɪnibʌs,"n. 面包车（等于microbus）；小型公共汽车；中客车
vi. 乘中客车",False
minimum,ˈmɪnɪməm,"n. 最小值；最低限度；最小化；最小量
adj. 最小的；最低的",False
miniskirt,ˈmɪniskɜ:t,n. 超短裙；迷你短裙,False
minister,ˈmɪnɪstə(r),"n. 部长；大臣；牧师
v. 执行牧师职务；辅助或伺候某人",False
ministry,ˈmɪnɪstri,n. （政府的）部；；（全体）牧师；牧师的职责,False
minority,maɪˈnɒrəti,"n. 少数民族；少数派；未成年
adj. 少数的；属于少数派的",False
mirror,ˈmɪrə(r),"n. 镜，镜子；榜样，典型
vt.  反映； 反射， 映照",False
missile,ˈmɪsaɪl,"n. 导弹；投射物
adj. 导弹的；可投掷的；用以发射导弹的",False
mist,mɪst,"n. 薄雾；视线模糊不清；模糊不清之物
v. 下雾；变模糊",False
mistaken,mɪˈsteɪkən,"adj. 错误的；弄错的；被误解的
v. 弄错（mistake的过去分词）",False
misunderstand,ˌmɪsʌndəˈstænd,vt.  误解， 误会， 曲解,False
mixture,ˈmɪkstʃə(r),n. 混合；混合物； 混合剂,False
mobile,ˈməʊbaɪl,"adj. 运动的，活动的，可移动的；流动的；机动的；多变的，易变的
n.  活动装置； 移动电话",False
modem,ˈməʊdem,n. 调制解调器（等于modulator-demodulator）,False
modest,ˈmɒdɪst,"adj. 谦虚的，谦逊的；适度的；端庄的；羞怯的
n. (Modest)人名；(罗)莫代斯特；(德)莫德斯特；(俄)莫杰斯特",False
monument,ˈmɒnjumənt,"n. 纪念碑；历史遗迹；不朽的作品
vt. 为…树碑",False
mop,mɒp,"v. 擦干；用拖把拖洗
n. 拖把；蓬松的头发；鬼脸",False
moral,ˈmɒrəl,"adj. 道德的， 道义的 <
n. 道德， 伦理；寓意， 教育意义",False
Moscow,'mɒskau,n. 莫斯科（俄罗斯首都）,False
Moslem,'mɒzlәm,"adj. 穆斯林的；伊斯兰教的；回教的
n. 穆斯林；穆罕默德信徒；伊斯兰",False
mosquito,məˈski:təʊ,n.  蚊子,False
motherland,ˈmʌðəlænd,n. 祖国；母国,False
motivation,ˌməʊtɪ'veɪʃn,n. 动机；积极性；推动,False
motor,ˈməʊtə(r),"n. 发动机，马达；汽车
adj. 汽车的；机动的
v. 乘汽车",False
motorbike,ˈməʊtəbaɪk,n. 摩托车,False
motorcycle,ˈməʊtəsaɪkl,"n. 摩托车；机动车
v. 骑摩托车",False
motto,ˈmɒtəʊ,"n. 座右铭, 格言, 题词, 笺言",False
mountainous,ˈmaʊntənəs,adj. 多山的；巨大的；山一般的,False
mourn,mɔ:n,v.  悲痛， 哀伤； 哀悼,False
moustache,məˈstɑ:ʃ,n. (嘴唇上面的)胡子,False
mouthful,ˈmaʊθfʊl,n. 满口，一口，少量,False
movement,ˈmu:vmənt,n.  动， 运动； 行动， 活动； 举动， 动作； 移动， 迁移； 运动； 倾向， 动向， 趋势； 乐章,False
Mr.,,,False
Ms.,,,False
mud,mʌd,"v. 弄脏；用泥涂
n. 泥；诽谤的话；无价值的东西",False
muddy,ˈmʌdi,"adj. 泥泞的，沾满烂泥的；灰暗的，暗淡的；模糊的，糊涂的
vt.  使沾上烂泥； 使显得扑朔迷离",False
multiply,ˈmʌltɪplaɪ,"v. 乘；使增加；使繁殖；使相乘
adv. 多样地；复合地
adj. 多层的；多样的",False
murder,ˈmɜ:də(r),"n. 谋杀，凶杀；谋杀罪
vt.  谋杀， 屠杀； 破坏",False
mushroom,ˈmʌʃrʊm,"n. 蘑菇，伞菌；蘑菇形物体；暴发户
adj. 蘑菇的；蘑菇形的；迅速生长的
v. 迅速增加；采蘑菇；迅速生长",False
mustard,ˈmʌstəd,n. 芥末；芥菜；深黄色；强烈的兴趣,False
mutton,ˈmʌtn,"n. 羊肉, <谑>绵羊, <俚>女性生殖器, 性交",False
nail,neɪl,"n. 钉，钉子，钉状物；指甲，爪
vt.  钉， 使牢固",False
narrow,ˈnærəʊ,"adj. 狭窄的，有限的；勉强的；精密的；度量小的
n. 海峡；狭窄部分，隘路
v. 使变狭窄",False
nation,ˈneɪʃn,n.  民族； 国家； 部落,False
nationality,ˌnæʃəˈnæləti,n. 国籍，国家；民族；部落,False
nationwide,ˌneɪʃnˈwaɪd,"adj. 全国范围的；全国性的
adv. 在全国",False
native,ˈneɪtɪv,"adj. 出生地的；本土的，土产的；天赋的；当地的；与出生地有关的
n.  土生土长者， 本地人， 本国人",False
navy,ˈneɪvi,n. 海军；海军部队,False
nearby,ˌnɪəˈbaɪ,"adj. 附近的，邻近的
adv. 在附近
prep. 在…附近",False
neat,ni:t,adj.  整洁的； 利索的； 匀称的； 纯净的， 不掺水的； 纯的,False
necklace,ˈnekləs,n. 项链，项圈,False
necktie,ˈnektaɪ,n. 领带,False
needle,ˈni:dl,"n. 针；指针；刺激；针状物
v. 缝纫；做针线",False
negotiate,nɪˈgəʊʃieɪt,"vi.  协商， 谈判， 议定
vt. 商议，磋商；转让，议付；顺利通过，成功越过",False
neighbourhood,ˈneɪbəhʊd,n. 附近(的居民)；邻近(的居民),False
nephew,ˈnefju:,n.  侄子， 外甥,False
nest,nest,"n. 巢，窝；安乐窝；温床
v. 筑巢；嵌套",False
net,net,"n. 网；网络；净利；实价
v. 编网
adj. 纯粹的；净余的",False
network,ˈnetwɜ:k,n.  网状物； 广播网， 电视网； 网络， 网状系统,False
niece,ni:s,n.  侄女， 外甥女,False
no.,,,False
noble,ˈnəʊbl,"adj. 高尚的；贵族的；惰性的；宏伟的
n. 贵族
vt. 抓住；逮捕",False
noisily,'nɔɪzɪlɪ,adv. 吵闹地，喧闹地,False
nor,nɔ:(r),"conj. 也不；也不是
adv. 也不；也没有
n. (Nor)人名；(中)挪(广东话·威妥玛)；(马来、俄)诺尔；(柬)诺",False
normal,ˈnɔ:ml,adj.  正常的， 平常的； 标准的； 精神健全的； 正规的， 规范的,False
North,nɔ:θ,"adv.  向北方
adj. 北方的，北部的；来自北方的
n. 北，北部",False
northern,ˈnɔ:ðən,"adj. 北部的；北方的
n. 北部方言",False
northwards,ˈnɔ:θwədz,adv. 向北,False
novelist,ˈnɒvəlɪst,n. (长篇)小说家,False
nowadays,ˈnaʊədeɪz,"adv. 现今；时下
n. 当今",False
nowhere,ˈnəʊweə(r),"adv. 无处；任何地方都不；毫无结果
n. 无处；任何地方；无名之地
adj. 不存在的；毫无结果的；不知名的",False
nuclear,ˈnju:kliə(r),adj.  原子核的； 核心的， 中心的； 核子的， 核能的， 核武器的,False
numb,nʌm,"v. 使麻木；使发愣；使失去感觉
adj. 麻木的；发愣的",False
nursery,ˈnɜ:səri,"adj. 幼儿教育的
n.  托儿所； 苗圃",False
nursing,ˈnɜ:sɪŋ,"n. 护理；看护；养育
v. 看护；养育（nurse的ing形式）",False
nut,nʌt,"n. 螺母，螺帽；坚果；难对付的人，难解的问题
v. 采坚果",False
nutrition,njuˈtrɪʃn,n. 营养，营养学；营养品,False
nylon,ˈnaɪlɒn,n. 尼龙，[纺] 聚酰胺纤维；尼龙袜,False
obey,əˈbeɪ,"v. 服从，听从；按照……行动
n. (Obey)人名；(英、法)奥贝",False
object,ˈɒbdʒɪkt,"vi.  反对， 不赞成
n.  实物， 物体； 目的， 目标； 对象， 客体； 宾语",False
observe,əbˈzɜ:v,vt.  注意到， 察觉到； 观测， 观察； 遵守， 奉行； 说， 评论,False
obtain,əbˈteɪn,"vi.  通用， 流行， 存在
vt. 获得，得到",False
obvious,ˈɒbviəs,adj. 明显的；显著的；平淡无奇的,False
occupation,ˌɒkjuˈpeɪʃn,n.  职业， 工作； 占用， 占领， 占据； 从事的活动， 消遣,False
occur,əˈkɜ:(r),vi.  发生， 出现， 存在； 被想起， 被想到,False
ocean,ˈəʊʃn,n.  洋， 海洋； 许多， 大量,False
Oceania,.əʊsi'ɑːniə,n.  大洋洲,False
offence,əˈfens,n.  犯罪； 过错； 冒犯； 攻击,False
official,əˈfɪʃl,"adj. 官方的，正式的；官员的；公务的
n.  官员， 行政人员； 高级职员",False
offshore,ˌɒfˈʃɔ:(r),"adj. 离岸的；[海洋] 近海的；吹向海面的
adv. 向海面，向海",False
oilfield,ˈɔɪlfi:ld,n.  油田,False
Olympic,әu'limpik,adj. 奥林匹斯山的，奥林匹亚的；奥林匹克的,False
omelette,'ɒmlət,n. 煎蛋卷,False
oneself,wʌnˈself,pron.  自己， 自身； 亲自， 本人,False
onion,ˈʌnjən,n.  洋葱， 洋葱类植物,False
opener,ˈəʊpnə(r),n. [五金] 开启工具；开启的人,False
opening,ˈəʊpnɪŋ,"n. 开始；机会；通路；空缺的职位
adj. 开始的
v. 开放（open的ing形式）；打开；公开",False
operate,ˈɒpəreɪt,v.  经营， 管理； 操作， 操纵， 控制； 运转， 运行； 活动； 起作用， 发生影响； 动手术,False
operator,ˈɒpəreɪtə(r),n.  操作员； 话务员， 报务员， 接线员； 手术者,False
oppose,əˈpəʊz,"v. 反对,使对立,使对抗,使相对",False
optimistic,ˌɒptɪˈmɪstɪk,adj.  乐观的， 乐观主义的,False
optional,ˈɒpʃənl,"adj. 可选择的，随意的
n. 选修科目",False
oral,ˈɔ:rəl,adj.  口头的， 口述的； 口腔的,False
orbit,ˈɔ:bɪt,"v.  沿轨道运行； 围绕…运动
n. 轨道；影响范围，势力范围",False
ordinary,ˈɔ:dnri,"adj. 普通的，平常的；拙劣的，质量差的
n.  惯例， 寻常情况",False
organ,ˈɔ:gən,n. [生物] 器官；机构；风琴；管风琴；嗓音,False
organise,'ɔ:gənaɪz,vt.  组织， 安排； 使有条理； 使有机化,False
organiser,'ɔ:gənaɪzə,n. 组织者；发起人；形成体（等于organizer）,False
organization,ˌɔ:gənaɪˈzeɪʃn,n.  组织， 机构； 团体； 体制； 全体行政人员； 条理， 系统,False
origin,ˈɒrɪdʒɪn,n.  起源， 由来； 出身， 来历； 原点,False
otherwise,ˈʌðəwaɪz,"adv. 否则；另外；在其他方面
adj. 另外的；其他方面的；原本，本来
conj. 其他；如果不；然后",False
Ottawa,'ɔtәwә,n. 渥太华（加拿大首都）,False
ought,ɔ:t,"aux. 应该，应当；大概
vi. 应该，应当；大概",False
outcome,ˈaʊtkʌm,n.  结果， 成果； 后果； 结局； 出口， 输出量,False
outdoors,ˌaʊtˈdɔ:z,"adv. 在户外
n. 户外
adj. 户外的（等于outdoor）",False
outer,ˈaʊtə(r),"adj. 外面的，外部的；远离中心的
n. 环外命中",False
outgoing,ˈaʊtgəʊɪŋ,"adj. 对人友好的，开朗的；出发的，外出的；即将离职的；乐于助人的
n. 外出；流出；开支
v. 超过；优于（outgo的ing形式）",False
outing,ˈaʊtɪŋ,"n. 远足；短途旅游；体育比赛
adj. 远足适用的
v. 出来；暴露（out的ing形式）",False
outline,ˈaʊtlaɪn,"n. 轮廓；大纲；概要；略图
v. 概述；略述；描画…轮廓",False
output,ˈaʊtpʊt,"n. 产量；输出，输出功率；产品；作品
vt.  输出",False
outspoken,aʊtˈspəʊkən,adj.  坦率的， 直言不讳的,False
outstanding,aʊtˈstændɪŋ,adj.  优秀的， 杰出的， 出色的； 未解决的； 未偿付的,False
outward,ˈaʊtwəd,"adj. 向外的；外面的；公开的；外服的；肉体的
adv. 向外（等于outwards）；在外；显而易见地
n. 外表；外面；物质世界",False
oval,ˈəʊvl,"adj. 卵形的，椭圆形的
n.  卵形， 椭圆形",False
overcoat,ˈəʊvəkəʊt,n. 外套大衣，长大衣,False
overcome,ˌəʊvəˈkʌm,vt.  战胜， 克服； 压倒， 使受不了,False
overhead,ˌəʊvəˈhed,"adv. 在头顶上；在空中；在高处
adj. 高架的；在头上的；在头顶上的
n. 天花板；[会计] 经常费用；间接费用；吊脚架空层",False
overlook,ˌəʊvəˈlʊk,"v. 忽略；俯瞰；远眺；检查；高耸于…之上
n. 忽视；眺望",False
overweight,ˌəʊvəˈweɪt,"adj. 超重的，过重的
n. 超重，过重
vt.  使负担过重",False
owe,əʊ,"v. 欠；感激；应给予；应该把……归功于
n. (Owe)人名；(瑞典、挪)奥弗",False
owner,ˈəʊnə(r),n. [经] 所有者；物主,False
ownership,ˈəʊnəʃɪp,n.  所有 ， 所有制,False
ox,ɒks,n. 阉牛；牛；公牛,False
oxygen,ˈɒksɪdʒən,n. [化学] 氧气，[化学] 氧,False
pace,peɪs,"v.  踱步， 用步子测量
n. 一步，步幅，步伐；步速，速度；节奏",False
pacific,pəˈsɪfɪk,"adj. 和平的；温和的；平静的
n. 太平洋",False
pack,pæk,"n. 包装；一群；背包；包裹；一副
v. 包装；压紧；捆扎；挑选；塞满",False
package,ˈpækɪdʒ,"adj. 组合的；一揽子的
n. 包裹，包装；一揽子交易
vt.  把…打包， 把…装箱； 包装， 把…装袋",False
packet,ˈpækɪt,"n. 数据包，信息包；小包，小捆
vt. 包装，打包",False
paddle,ˈpædl,"v.  用桨划船； 涉水， 戏水
n. 桨；桡足",False
painful,ˈpeɪnfl,adj.  疼痛的， 引起疼痛的； 困难的； 令人不快的,False
painter,ˈpeɪntə(r),n. 画家，绘画者；漆工,False
pan,pæn,"n. 平底锅；盘状的器皿；淘盘子，金盘，秤盘
v. 淘金；在浅锅中烹调（食物）；[非正式用语]严厉的批评",False
panic,ˈpænɪk,"n. 恐慌，惊慌；大恐慌
adj. 恐慌的；没有理由的
v. 使恐慌",False
paperwork,ˈpeɪpəwɜ:k,n.  文书工作,False
paragraph,ˈpærəgrɑ:f,"n. 段落；短评；段落符号
v. 将…分段",False
parallel,ˈpærəlel,"adj. 平行的；类似的；并列的，并联的
n. 可相比拟的事物；相似处；平行线，平行面；纬线
vt.  与…平行； 与…相似， 与…相当， 比得上",False
parcel,ˈpɑ:sl,"n. 包裹，小包，邮包
vt.  分， 分配； 把…包起来， 捆扎",False
Paris,'pæris,n. 巴黎（法国首都）；帕里斯（特洛伊王子）,False
parking,ˈpɑ:kɪŋ,"n. 停车
adj. 停车的
v. 停车（park的ing形式）",False
parrot,ˈpærət,"n. 鹦鹉；学舌者，应声虫；机械模仿别人的人
v. 机械地模仿",False
participate,pɑ:ˈtɪsɪpeɪt,"v. (in)参与,参加;分享,分担;含有,带有",False
particular,pəˈtɪkjələ(r),"adj. 特别的，特殊的，特有的；特定的，某一的；详细的，详尽的，精密的；讲究的，挑剔的，苛求的
n.  细节， 细目， 详情",False
partly,ˈpɑ:tli,"adv. 部分地,不完全地,在一定程度上",False
partner,ˈpɑ:tnə(r),"n. 伙伴；合伙人；配偶
v. 合伙；合股；成为搭档",False
passage,ˈpæsɪdʒ,n. 〔乘船旅行的〕航程；〔书、诗歌、演讲、乐曲等的〕一段；通道,False
passive,ˈpæsɪv,"adj. 被动的，消极的；被动语态的
n. 被动语态",False
patent,ˈpætnt,"v. 授予专利；取得…的专利权
adj. 专利的；新奇的；显然的
n. 专利权；执照；专利品",False
patience,ˈpeɪʃns,n. 耐性，耐心；忍耐，容忍,False
pattern,ˈpætn,"n. 型，模式，样式；图案，图样，花样；形式，方式；模范，典范
vt.  仿制， 模仿， 使照…样子",False
pause,pɔ:z,"n. 暂停；间歇
v. 暂停，停顿，中止；踌躇",False
pea,pi:,n. 豌豆；豌豆属植物,False
peaceful,ˈpi:sfl,adj. 和平的，爱好和平的；平静的,False
peach,pi:tʃ,"n. 桃子；桃树；桃红色；受人喜欢的人（或物）
adj. 桃色的；用桃子制成的
v. 告密",False
pear,peə(r),n. [园艺] 梨树；梨子,False
peasant,ˈpeznt,n. 农民；乡下人,False
pedestrian,pəˈdestriən,"adj.  徒步的； 缺乏想象力的
n. 步行者，行人",False
